LIMCU;IMLITM;IMDSC1;LILOCN;LILOTN;QTD;LIUPMJ
HABF;2003G40H M10027;CJ TRANSMISSAO CVT -AL;ESTDLI;;-1;0
HABF;2003G63B C60026;CJ TRANSMISSAO CVT -AL;ESTDLI;;1;125351
HABF;100006HGWMA6;CONJ MOTOR 1.5 TURBO FFV;ESTLMO;;82;126204
HABF;100006HZWMA7;CONJ MOTOR 1.5 FFV;ESTLMO;;125;126204
HABF;100006HZXMA7;CONJ MOTOR 1.5 FFV;ESTLMO;;-1;126149
HABF;100006WYYKA5;CONJ MOTOR 1.5 CVT;ESTLMO;;2;126204
HABF;100006WYZKA5;CONJ MOTOR 1.5 CVT;ESTLMO;;-3;126167
HABF;100006WZYMA5;CONJ MOTOR 1.5 FFV CVT;ESTLMO;;463;126204
HABF;100006WZZMA5;CONJ MOTOR 1.5 FFV CVT;ESTLMO;;-7;126183
HABF;1000062XVME6;CONJ. MOTOR 1.5 FLEX CVT;ESTLMO;;2;126204
HABF;1000062XVME8;CONJ. MOTOR 1.5 FLEX CVT;ESTLMO;;-3;126203
HABF;1000062XVME9;CONJ. MOTOR 1.5 FLEX CVT;ESTLMO;;120;126204
HABF;2003A40H M000;CJ TRANSMISSAO CVT -AL;ESTLMO;;6;126198
HABF;2003F63B P100;CJ TRANSMISSAO CVT -AL;ESTLMO;;36;126198
HABF;1000062XVME8;CONJ. MOTOR 1.5 FLEX CVT;ESTREJ;01260301017;1;126078
HABF;100006HGWMA6;CONJ MOTOR 1.5 TURBO FFV;ESTTRA;13535014;36;126204
HABF;100006HZWMA7;CONJ MOTOR 1.5 FFV;ESTTRA;13529264;3;126181
HABF;100006HZWMA7;CONJ MOTOR 1.5 FFV;ESTTRA;13535014;63;126204
HABF;2003G40H M10027;CJ TRANSMISSAO CVT -AL;ESTTRA;10083724;1;126173
HABN;2003E6JH M800;CJ TRANSMISSAO CVT -AL;ESTDLI;;897;126173
HABN;2003F6JH M800;CJ TRANSMISSAO CVT -AL;ESTDLI;;120;126204
HABN;2003G40H CA0027;CJ TRANSMISSAO CVT -AL;ESTDLI;;240;126174
HABN;2003G40H CA0028;CJ TRANSMISSAO CVT -AL;ESTDLI;;-120;126189
HABN;2003G40H CK0027;CJ TRANSMISSAO CVT -AL;ESTDLI;;120;126173
HABN;2003G40H CK0028;CJ TRANSMISSAO CVT -AL;ESTDLI;;5;126199
HABN;2003G40H M10027;CJ TRANSMISSAO CVT -AL;ESTDLI;;1726;126187
HABN;2003G40H M10028;CJ TRANSMISSAO CVT -AL;ESTDLI;;480;126204
HABN;2003G6JC CS0027;CJ TRANSMISSAO CVT -AL;ESTDLI;;240;126182
HABN;2003G6JC C70026;CJ TRANSMISSAO CVT -AL;ESTDLI;;96;126163
