data_hora;posto;modelo;serie;resultado;vazamento;limite;unidade;motivo;turno;reteste
2026-07-28 21:49:25;Water Leak;1.5;MON107981;OK;2,31;6;cc/min;;2;N
2026-07-28 21:49:28;Bloco;1.5;USI100022;OK;1,07;5;cc/min;;2;N
2026-07-28 21:49:56;Leak Zero;1.0;MON105586;OK;1,68;3;cc/min;;2;N
2026-07-28 21:50:05;Bloco;1.5 Turbo;USI100019;OK;3,11;5;cc/min;;2;N
2026-07-28 21:50:46;Leak Zero;1.5;MON105583;OK;1,76;3;cc/min;;2;N
2026-07-28 21:51:12;Leak Zero;1.5 Turbo;MON105603;OK;1,37;3;cc/min;;2;N
2026-07-28 21:51:53;Water Leak;1.5 Turbo;MON107965;OK;1,90;6;cc/min;;2;N
2026-07-28 21:52:15;Water Leak;1.5 Turbo;MON107983;OK;4,30;6;cc/min;;2;N
2026-07-28 21:52:19;Bloco;1.5 Turbo;USI100040;OK;2,86;5;cc/min;;2;N
2026-07-28 21:52:19;Cabeçote;1.5 Turbo;USI102809;OK;2,29;4;cc/min;;2;N
2026-07-28 21:53:12;Cabeçote;1.0;USI102842;OK;1,88;4;cc/min;;2;N
2026-07-28 21:53:29;Cabeçote;1.5 Turbo;USI102828;OK;1,16;4;cc/min;;2;N
2026-07-28 21:53:47;Cabeçote;1.5 Turbo;USI102824;OK;1,38;4;cc/min;;2;N
2026-07-28 21:54:11;Bloco;1.5 Turbo;USI100024;OK;0,93;5;cc/min;;2;N
2026-07-28 21:54:17;Water Leak;1.0;MON107992;OK;2,93;6;cc/min;;2;N
2026-07-28 21:56:59;Cabeçote;1.5 Turbo;USI102827;OK;2,02;4;cc/min;;2;N
2026-07-28 21:57:51;Leak Zero;1.5 Turbo;MON105579;OK;2,11;3;cc/min;;2;N
2026-07-28 21:58:19;Bloco;1.5;USI100054;OK;1,79;5;cc/min;;2;N
2026-07-28 21:58:19;Cabeçote;1.5;USI102823;OK;1,44;4;cc/min;;2;N
2026-07-28 21:59:10;Bloco;1.5;USI100025;OK;2,23;5;cc/min;;2;N
2026-07-28 21:59:15;Water Leak;1.5 Turbo;MON107962;OK;2,94;6;cc/min;;2;N
2026-07-28 21:59:18;Cabeçote;1.5 Turbo;USI102829;OK;0,81;4;cc/min;;2;N
2026-07-28 21:59:29;Bloco;1.0;USI100017;OK;3,42;5;cc/min;;2;N
2026-07-28 22:00:06;Leak Zero;1.0;MON105614;OK;2,03;3;cc/min;;2;N
2026-07-28 22:00:34;Water Leak;1.5 Turbo;MON107955;OK;3,99;6;cc/min;;2;N
2026-07-28 22:01:06;Bloco;1.0;USI100028;OK;2,21;5;cc/min;;2;N
2026-07-28 22:01:07;Leak Zero;1.5;MON105585;OK;1,56;3;cc/min;;2;N
2026-07-28 22:03:00;Water Leak;1.5 Turbo;MON107989;OK;1,45;6;cc/min;;2;N
2026-07-28 22:03:07;Cabeçote;1.5 Turbo;USI102841;OK;1,63;4;cc/min;;2;N
2026-07-28 22:03:40;Bloco;1.0;USI100046;OK;2,79;5;cc/min;;2;N
2026-07-28 22:03:40;Cabeçote;1.0;USI102815;OK;2,23;4;cc/min;;2;N
2026-07-28 22:04:03;Bloco;1.5;USI100044;OK;2,69;5;cc/min;;2;N
2026-07-28 22:04:03;Cabeçote;1.5;USI102813;OK;2,16;4;cc/min;;2;N
2026-07-28 22:04:04;Cabeçote;1.5;USI102844;OK;2,04;4;cc/min;;2;N
2026-07-28 22:04:14;Water Leak;1.0;MON107974;OK;3,04;6;cc/min;;2;N
2026-07-28 22:04:18;Bloco;1.0;USI100039;OK;0,91;5;cc/min;;2;N
2026-07-28 22:04:18;Cabeçote;1.0;USI102808;OK;0,73;4;cc/min;;2;N
2026-07-28 22:04:46;Bloco;1.5;USI100035;OK;3,19;5;cc/min;;2;N
2026-07-28 22:04:46;Cabeçote;1.5;USI102804;OK;2,56;4;cc/min;;2;N
2026-07-28 22:04:50;Bloco;1.0;USI100050;OK;3,09;5;cc/min;;2;N
2026-07-28 22:04:50;Cabeçote;1.0;USI102819;OK;2,47;4;cc/min;;2;N
2026-07-28 22:05:05;Bloco;1.5 Turbo;USI100007;OK;3,27;5;cc/min;;2;N
2026-07-28 22:05:11;Bloco;1.5;USI100043;OK;3,60;5;cc/min;;2;N
2026-07-28 22:05:11;Cabeçote;1.5;USI102812;OK;2,88;4;cc/min;;2;N
2026-07-28 22:05:45;Leak Zero;1.0;MON105602;OK;1,25;3;cc/min;;2;N
2026-07-28 22:05:52;Bloco;1.5;USI100031;OK;2,29;5;cc/min;;2;N
2026-07-28 22:06:59;Leak Zero;1.5;MON105606;OK;1,69;3;cc/min;;2;N
2026-07-28 22:07:03;Water Leak;1.5;MON107982;OK;1,73;6;cc/min;;2;N
2026-07-28 22:07:44;Bloco;1.0;USI100030;OK;2,91;5;cc/min;;2;N
2026-07-28 22:08:34;Bloco;1.5;USI100051;OK;2,52;5;cc/min;;2;N
2026-07-28 22:08:34;Cabeçote;1.5;USI102820;OK;2,01;4;cc/min;;2;N
2026-07-28 22:08:38;Water Leak;1.5 Turbo;MON107978;OK;3,07;6;cc/min;;2;N
2026-07-28 22:09:32;Leak Zero;1.0;MON105609;OK;1,04;3;cc/min;;2;N
2026-07-28 22:09:45;Water Leak;1.5;MON107967;OK;2,67;6;cc/min;;2;N
2026-07-28 22:09:51;Bloco;1.0;USI100001;OK;1,71;5;cc/min;;2;N
2026-07-28 22:10:59;Water Leak;1.5;MON107976;OK;2,49;6;cc/min;;2;N
2026-07-28 22:11:40;Water Leak;1.0;MON107956;OK;3,44;6;cc/min;;2;N
2026-07-28 22:11:56;Bloco;1.5 Turbo;USI100012;OK;3,47;5;cc/min;;2;N
2026-07-28 22:12:07;Water Leak;1.5 Turbo;MON107970;OK;2,91;6;cc/min;;2;N
2026-07-28 22:12:16;Cabeçote;1.5 Turbo;USI102832;OK;2,54;4;cc/min;;2;N
2026-07-28 22:12:41;Bloco;1.5 Turbo;USI100020;OK;2,02;5;cc/min;;2;N
2026-07-28 22:12:58;Bloco;1.0;USI100008;OK;1,33;5;cc/min;;2;N
2026-07-28 22:13:00;Cabeçote;1.5;USI102845;OK;2,21;4;cc/min;;2;N
2026-07-28 22:14:37;Bloco;1.0;USI100048;OK;1,01;5;cc/min;;2;N
2026-07-28 22:14:37;Cabeçote;1.0;USI102817;OK;0,81;4;cc/min;;2;N
2026-07-28 22:14:48;Leak Zero;1.0;MON105595;OK;0,60;3;cc/min;;2;N
2026-07-28 22:14:59;Water Leak;1.0;MON107993;OK;1,36;6;cc/min;;2;N
2026-07-28 22:15:37;Leak Zero;1.5;MON105613;OK;1,22;3;cc/min;;2;N
2026-07-28 22:15:55;Bloco;1.0;USI100004;OK;1,83;5;cc/min;;2;N
2026-07-28 22:15:57;Cabeçote;1.0;USI102826;OK;1,19;4;cc/min;;2;N
2026-07-28 22:16:14;Bloco;1.0;USI100047;OK;2,45;5;cc/min;;2;N
2026-07-28 22:16:14;Cabeçote;1.0;USI102816;OK;1,96;4;cc/min;;2;N
2026-07-28 22:17:10;Cabeçote;1.5;USI102836;OK;2,01;4;cc/min;;2;N
2026-07-28 22:17:15;Leak Zero;1.0;MON105578;OK;1,79;3;cc/min;;2;N
2026-07-28 22:17:28;Leak Zero;1.5 Turbo;MON105608;OK;1,89;3;cc/min;;2;N
2026-07-28 22:17:55;Bloco;1.5 Turbo;USI100027;OK;1,59;5;cc/min;;2;N
2026-07-28 22:18:06;Bloco;1.5;USI100023;OK;2,90;5;cc/min;;2;N
2026-07-28 22:18:21;Leak Zero;1.5 Turbo;MON105587;OK;2,06;3;cc/min;;2;N
2026-07-28 22:18:27;Bloco;1.0;USI100042;OK;2,62;5;cc/min;;2;N
2026-07-28 22:18:27;Cabeçote;1.0;USI102811;OK;2,09;4;cc/min;;2;N
2026-07-28 22:18:34;Leak Zero;1.5 Turbo;MON105604;OK;1,73;3;cc/min;;2;N
2026-07-28 22:19:15;Bloco;1.5;USI100018;OK;3,71;5;cc/min;;2;N
2026-07-28 22:19:36;Leak Zero;1.5 Turbo;MON105605;OK;2,23;3;cc/min;;2;N
2026-07-28 22:19:54;Water Leak;1.5;MON107975;OK;3,38;6;cc/min;;2;N
2026-07-28 22:19:56;Water Leak;1.5 Turbo;MON107969;OK;1,97;6;cc/min;;2;N
2026-07-28 22:20:01;Bloco;1.5;USI100016;OK;3,56;5;cc/min;;2;N
2026-07-28 22:20:15;Bloco;1.5;USI100009;OK;2,36;5;cc/min;;2;N
2026-07-28 22:20:57;Bloco;1.0;USI100034;OK;1,73;5;cc/min;;2;N
2026-07-28 22:20:57;Cabeçote;1.0;USI102803;OK;1,38;4;cc/min;;2;N
2026-07-28 22:22:01;Bloco;1.5 Turbo;USI100011;OK;2,43;5;cc/min;;2;N
2026-07-28 22:22:01;Water Leak;1.5;MON107966;OK;1,03;6;cc/min;;2;N
2026-07-28 22:22:07;Leak Zero;1.5;MON105590;OK;0,57;3;cc/min;;2;N
2026-07-28 22:22:31;Leak Zero;1.0;MON105607;OK;1,74;3;cc/min;;2;N
2026-07-28 22:23:08;Leak Zero;1.0;MON105599;OK;1,51;3;cc/min;;2;N
2026-07-28 22:23:09;Water Leak;1.5;MON107991;OK;1,85;6;cc/min;;2;N
2026-07-28 22:23:32;Water Leak;1.5;MON107957;OK;4,23;6;cc/min;;2;N
2026-07-28 22:23:50;Water Leak;1.0;MON107973;OK;3,33;6;cc/min;;2;N
