data_hora;posto;modelo;serie;resultado;vazamento;limite;unidade;motivo;turno;reteste
2026-08-02 17:01:26;Cabeçote;1.5 Turbo;CAB400313;OK;1,44;4;cc/min;;2;N
2026-08-02 17:01:28;Bloco;1.5 Turbo;BLO400001;OK;0,88;5;cc/min;;2;N
2026-08-02 17:01:32;Water Leak;1.0;WAT400912;OK;2,27;6;cc/min;;2;N
2026-08-02 17:01:34;Leak Zero;1.0;LEA400644;OK;1,74;3;cc/min;;2;N
2026-08-02 17:02:31;Cabeçote;1.5 Turbo;CAB400314;OK;2,58;4;cc/min;;2;N
2026-08-02 17:02:37;Bloco;1.0;BLO400002;OK;1,46;5;cc/min;;2;N
2026-08-02 17:02:49;Water Leak;1.5 Turbo;WAT400913;OK;3,02;6;cc/min;;2;N
2026-08-02 17:02:54;Leak Zero;1.5;LEA400645;OK;1,51;3;cc/min;;2;N
2026-08-02 17:03:36;Cabeçote;1.5;CAB400315;OK;2,65;4;cc/min;;2;N
2026-08-02 17:03:46;Bloco;1.5 Turbo;BLO400003;OK;2,54;5;cc/min;;2;N
2026-08-02 17:04:07;Water Leak;1.0;WAT400914;OK;3,61;6;cc/min;;2;N
2026-08-02 17:04:15;Leak Zero;1.0;LEA400646;OK;1,93;3;cc/min;;2;N
2026-08-02 17:04:42;Cabeçote;1.5 Turbo;CAB400316;OK;0,79;4;cc/min;;2;N
2026-08-02 17:04:56;Bloco;1.5;BLO400004;OK;1,70;5;cc/min;;2;N
2026-08-02 17:05:24;Water Leak;1.5 Turbo;WAT400915;OK;1,00;6;cc/min;;2;N
2026-08-02 17:05:35;Leak Zero;1.0;LEA400647;OK;1,20;3;cc/min;;2;N
2026-08-02 17:05:47;Cabeçote;1.0;CAB400317;OK;0,71;4;cc/min;;2;N
2026-08-02 17:06:05;Bloco;1.0;BLO400005;OK;1,18;5;cc/min;;2;N
2026-08-02 17:06:42;Water Leak;1.5;WAT400916;OK;4,19;6;cc/min;;2;N
2026-08-02 17:06:52;Cabeçote;1.5;CAB400318;NOK;8,14;4;cc/min;Sede de válvula;2;N
2026-08-02 17:06:56;Leak Zero;1.0;LEA400648;OK;1,33;3;cc/min;;2;N
2026-08-02 17:07:14;Bloco;1.5 Turbo;BLO400006;OK;2,63;5;cc/min;;2;N
2026-08-02 17:07:57;Cabeçote;1.5;CAB400319;OK;1,73;4;cc/min;;2;N
2026-08-02 17:07:59;Water Leak;1.5;WAT400917;OK;3,68;6;cc/min;;2;N
2026-08-02 17:08:17;Leak Zero;1.0;LEA400649;OK;0,98;3;cc/min;;2;N
2026-08-02 17:08:23;Bloco;1.0;BLO400007;OK;1,87;5;cc/min;;2;N
2026-08-02 17:09:03;Cabeçote;1.0;CAB400320;OK;1,89;4;cc/min;;2;N
2026-08-02 17:09:17;Water Leak;1.5;WAT400918;OK;2,20;6;cc/min;;2;N
2026-08-02 17:09:33;Bloco;1.0;BLO400008;OK;3,42;5;cc/min;;2;N
2026-08-02 17:09:37;Leak Zero;1.0;LEA400650;OK;1,21;3;cc/min;;2;N
2026-08-02 17:10:08;Cabeçote;1.5;CAB400321;OK;0,82;4;cc/min;;2;N
2026-08-02 17:10:34;Water Leak;1.0;WAT400919;OK;3,32;6;cc/min;;2;N
2026-08-02 17:10:42;Bloco;1.5;BLO400009;OK;2,39;5;cc/min;;2;N
2026-08-02 17:10:58;Leak Zero;1.5 Turbo;LEA400651;OK;1,17;3;cc/min;;2;N
2026-08-02 17:11:13;Cabeçote;1.5;CAB400322;OK;2,50;4;cc/min;;2;N
2026-08-02 17:11:51;Bloco;1.0;BLO400010;OK;0,81;5;cc/min;;2;N
2026-08-02 17:11:51;Water Leak;1.0;WAT400920;OK;3,12;6;cc/min;;2;N
2026-08-02 17:12:18;Leak Zero;1.0;LEA400652;OK;1,03;3;cc/min;;2;N
2026-08-02 17:12:19;Cabeçote;1.5;CAB400323;OK;2,44;4;cc/min;;2;N
2026-08-02 17:13:00;Bloco;1.0;BLO400011;OK;1,65;5;cc/min;;2;N
2026-08-02 17:13:09;Water Leak;1.0;WAT400921;OK;3,93;6;cc/min;;2;N
2026-08-02 17:13:24;Cabeçote;1.5 Turbo;CAB400324;OK;0,72;4;cc/min;;2;N
2026-08-02 17:13:39;Leak Zero;1.5 Turbo;LEA400653;OK;1,46;3;cc/min;;2;N
2026-08-02 17:14:09;Bloco;1.5;BLO400012;OK;1,80;5;cc/min;;2;N
2026-08-02 17:14:26;Water Leak;1.0;WAT400922;OK;3,39;6;cc/min;;2;N
2026-08-02 17:14:29;Cabeçote;1.5 Turbo;CAB400325;OK;1,33;4;cc/min;;2;N
2026-08-02 17:15:00;Leak Zero;1.5 Turbo;LEA400654;OK;1,59;3;cc/min;;2;N
2026-08-02 17:15:19;Bloco;1.5;BLO400013;OK;1,27;5;cc/min;;2;N
2026-08-02 17:15:34;Cabeçote;1.0;CAB400326;OK;2,76;4;cc/min;;2;N
2026-08-02 17:15:44;Water Leak;1.5;WAT400923;OK;2,09;6;cc/min;;2;N
2026-08-02 17:16:20;Leak Zero;1.5;LEA400655;OK;2,01;3;cc/min;;2;N
2026-08-02 17:16:28;Bloco;1.5 Turbo;BLO400014;OK;2,74;5;cc/min;;2;N
2026-08-02 17:16:40;Cabeçote;1.0;CAB400327;OK;2,05;4;cc/min;;2;N
2026-08-02 17:17:01;Water Leak;1.5 Turbo;WAT400924;OK;3,36;6;cc/min;;2;N
2026-08-02 17:17:37;Bloco;1.0;BLO400015;OK;2,09;5;cc/min;;2;N
2026-08-02 17:17:41;Leak Zero;1.0;LEA400656;OK;0,49;3;cc/min;;2;N
2026-08-02 17:17:45;Cabeçote;1.5;CAB400328;OK;2,07;4;cc/min;;2;N
2026-08-02 17:18:18;Water Leak;1.0;WAT400925;OK;4,05;6;cc/min;;2;N
2026-08-02 17:18:46;Bloco;1.5 Turbo;BLO400016;OK;1,37;5;cc/min;;2;N
2026-08-02 17:18:50;Cabeçote;1.5;CAB400329;OK;1,77;4;cc/min;;2;N
2026-08-02 17:19:01;Leak Zero;1.5 Turbo;LEA400657;OK;2,02;3;cc/min;;2;N
2026-08-02 17:19:36;Water Leak;1.0;WAT400926;OK;1,67;6;cc/min;;2;N
2026-08-02 17:19:55;Cabeçote;1.0;CAB400330;OK;0,80;4;cc/min;;2;N
2026-08-02 17:19:56;Bloco;1.5;BLO400017;OK;2,95;5;cc/min;;2;N
2026-08-02 17:20:22;Leak Zero;1.0;LEA400658;OK;1,52;3;cc/min;;2;N
2026-08-02 17:20:53;Water Leak;1.5 Turbo;WAT400927;OK;1,58;6;cc/min;;2;N
2026-08-02 17:21:01;Cabeçote;1.5;CAB400331;OK;0,93;4;cc/min;;2;N
2026-08-02 17:21:05;Bloco;1.5;BLO400018;OK;3,47;5;cc/min;;2;N
2026-08-02 17:21:43;Leak Zero;1.5;LEA400659;OK;2,07;3;cc/min;;2;N
2026-08-02 17:22:06;Cabeçote;1.5;CAB400332;OK;2,78;4;cc/min;;2;N
2026-08-02 17:22:11;Water Leak;1.5;WAT400928;OK;3,45;6;cc/min;;2;N
2026-08-02 17:22:14;Bloco;1.0;BLO400019;OK;2,64;5;cc/min;;2;N
2026-08-02 17:23:03;Leak Zero;1.5;LEA400660;OK;1,16;3;cc/min;;2;N
2026-08-02 17:23:11;Cabeçote;1.5 Turbo;CAB400333;OK;1,36;4;cc/min;;2;N
2026-08-02 17:23:23;Bloco;1.5;BLO400020;OK;2,33;5;cc/min;;2;N
2026-08-02 17:23:28;Water Leak;1.0;WAT400929;OK;2,68;6;cc/min;;2;N
2026-08-02 17:24:16;Cabeçote;1.5 Turbo;CAB400334;OK;1,24;4;cc/min;;2;N
2026-08-02 17:24:24;Leak Zero;1.0;LEA400661;OK;1,21;3;cc/min;;2;N
2026-08-02 17:24:33;Bloco;1.5;BLO400021;OK;1,57;5;cc/min;;2;N
2026-08-02 17:24:46;Water Leak;1.5 Turbo;WAT400930;OK;2,83;6;cc/min;;2;N
2026-08-02 17:25:22;Cabeçote;1.5;CAB400335;NOK;10,74;4;cc/min;Sede de válvula;2;N
2026-08-02 17:25:42;Bloco;1.5;BLO400022;OK;2,59;5;cc/min;;2;N
2026-08-02 17:25:44;Leak Zero;1.5 Turbo;LEA400662;OK;1,96;3;cc/min;;2;N
2026-08-02 17:26:03;Water Leak;1.5;WAT400931;OK;4,05;6;cc/min;;2;N
2026-08-02 17:26:27;Cabeçote;1.0;CAB400336;OK;1,61;4;cc/min;;2;N
2026-08-02 17:26:51;Bloco;1.5;BLO400023;OK;3,32;5;cc/min;;2;N
2026-08-02 17:27:05;Leak Zero;1.5 Turbo;LEA400663;OK;1,76;3;cc/min;;2;N
2026-08-02 17:27:20;Water Leak;1.5;WAT400932;OK;1,48;6;cc/min;;2;N
2026-08-02 17:27:32;Cabeçote;1.5 Turbo;CAB400337;OK;2,61;4;cc/min;;2;N
2026-08-02 17:28:00;Bloco;1.5 Turbo;BLO400024;OK;3,23;5;cc/min;;2;N
2026-08-02 17:28:26;Leak Zero;1.0;LEA400664;OK;0,66;3;cc/min;;2;N
2026-08-02 17:28:37;Cabeçote;1.0;CAB400338;OK;0,91;4;cc/min;;2;N
2026-08-02 17:28:38;Water Leak;1.0;WAT400933;OK;2,10;6;cc/min;;2;N
2026-08-02 17:29:09;Bloco;1.0;BLO400025;OK;1,89;5;cc/min;;2;N
2026-08-02 17:29:43;Cabeçote;1.5;CAB400339;OK;2,68;4;cc/min;;2;N
2026-08-02 17:29:46;Leak Zero;1.0;LEA400665;OK;0,82;3;cc/min;;2;N
